City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Avarua,-21.21,-159.78,75.2,83,100,8.05,CK,1604195735
Mariehamn,60.1,19.93,48.2,87,0,16.11,AX,1604195736
Port Elizabeth,-33.92,25.57,64.4,82,75,8.05,ZA,1604195736
Korla,41.76,86.15,48.0,72,0,5.01,CN,1604195736
Punta Arenas,-53.15,-70.92,46.4,81,0,3.36,CL,1604195736
Cariati,39.49,16.96,53.01,90,29,7.65,IT,1604195736
Cidreira,-30.18,-50.21,62.24,74,0,6.62,BR,1604195736
Tiksi,71.69,128.87,-1.77,91,83,7.05,RU,1604195552
Sitka,57.05,-135.33,51.8,87,90,17.22,US,1604195737
Sibu,2.3,111.82,82.4,83,40,2.24,MY,1604195684
Albany,42.6,-73.97,35.01,84,0,5.01,US,1604195487
Teguise,29.06,-13.56,73.4,46,0,9.17,ES,1604195737
Ranot,7.78,100.32,83.55,71,52,3.94,TH,1604195737
Busselton,-33.65,115.33,57.0,92,100,3.38,AU,1604195737
Rikitea,-23.12,-134.97,76.14,67,0,8.08,PF,1604195548
Ushuaia,-54.8,-68.3,48.2,87,75,5.82,AR,1604195644
Ponta do Sol,32.67,-17.1,72.0,42,20,9.17,PT,1604195738
Dingle,11.0,122.67,82.29,82,100,10.13,PH,1604195738
Kasongo-Lunda,-6.47,16.82,69.73,92,100,0.02,CD,1604195738
Danville,36.59,-79.39,45.0,87,1,3.38,US,1604195724
Ancud,-41.87,-73.82,53.01,87,0,2.24,CL,1604195738
Ribeira Grande,38.52,-28.7,68.99,93,49,21.83,PT,1604195738
Saint George,37.1,-113.58,69.8,15,1,3.36,US,1604195480
Tasiilaq,65.61,-37.64,32.0,96,100,8.05,GL,1604195739
George Town,5.41,100.34,80.6,83,20,3.36,MY,1604195739
Chui,-33.7,-53.46,51.82,86,0,2.95,UY,1604195658
Vaini,-21.2,-175.2,80.6,74,75,13.87,TO,1604195739
Duki,30.15,68.57,52.57,34,0,4.59,PK,1604195739
Mataura,-46.19,168.86,57.0,75,97,17.0,NZ,1604195551
Lebu,-37.62,-73.65,51.06,91,71,6.08,CL,1604195650
Atuona,-9.8,-139.03,78.37,75,11,17.2,PF,1604195740
Tuktoyaktuk,69.45,-133.04,-4.0,83,40,4.7,CA,1604195570
Klaksvík,62.23,-6.59,42.8,93,78,34.45,FO,1604195740
Acajutla,13.59,-89.83,79.86,77,36,2.57,SV,1604195681
Hobart,-42.88,147.33,64.99,71,75,8.05,AU,1604195649
Barrow,71.29,-156.79,24.8,68,90,13.87,US,1604195548
Port Hedland,-20.32,118.57,87.8,55,0,12.75,AU,1604195741
Torbay,47.67,-52.73,33.01,88,75,19.46,CA,1604195578
Kavieng,-2.57,150.8,85.28,71,9,9.19,PG,1604195672
Airai,-8.93,125.41,78.1,35,0,3.27,TL,1604195555
Cape Town,-33.93,18.42,59.0,54,0,11.41,ZA,1604195472
Davenda,53.56,119.32,20.95,79,100,11.34,RU,1604195741
Yellowknife,62.46,-114.35,21.2,100,90,10.29,CA,1604195557
Merritt,50.11,-120.79,42.8,81,75,1.54,CA,1604195617
Jamestown,42.1,-79.24,39.99,74,1,8.05,US,1604195742
Saint-Leu,-21.15,55.28,64.4,68,90,9.17,RE,1604195742
New Norfolk,-42.78,147.06,66.99,56,83,1.99,AU,1604195742
Seminole,28.71,-81.21,73.99,78,1,4.7,US,1604195742
Codrington,-38.27,141.97,60.51,74,60,8.9,AU,1604195548
São José da Coroa Grande,-8.9,-35.15,77.07,86,95,8.9,BR,1604195742
Norman Wells,65.28,-126.83,-4.0,83,20,2.24,CA,1604195551
Toora-Khem,52.47,96.11,24.82,90,100,1.23,RU,1604195742
Bilma,18.69,12.92,68.45,37,0,15.01,NE,1604195742
Qaanaaq,77.48,-69.36,5.5,82,0,4.9,GL,1604195655
Verkhnevilyuysk,63.45,120.32,0.54,91,67,3.85,RU,1604195743
Bethel,41.37,-73.41,35.01,92,1,1.63,US,1604195743
Manga,11.66,-1.07,76.41,29,0,2.51,BF,1604195743
São João da Barra,-21.64,-41.05,70.61,88,100,13.27,BR,1604195575
Bluff,-46.6,168.33,57.0,75,99,17.0,NZ,1604195743
Keetmanshoop,-26.58,18.13,63.25,38,0,4.41,NA,1604195743
Gigmoto,13.78,124.39,80.35,81,100,10.76,PH,1604195744
Novosergiyevka,52.09,53.65,41.79,69,49,2.1,RU,1604195744
Auki,-8.77,160.7,83.61,76,53,3.89,SB,1604195744
Kaoma,-14.78,24.8,65.75,32,0,8.3,ZM,1604195744
Aksarka,66.56,67.8,28.27,96,13,10.83,RU,1604195744
Oboyan',51.21,36.28,50.0,100,75,11.18,RU,1604195744
Vanavara,60.34,102.28,1.02,92,0,2.82,RU,1604195744
Cabo San Lucas,22.89,-109.91,80.6,74,20,5.82,MX,1604195588
Shugurovo,54.51,52.13,39.18,91,97,2.82,RU,1604195745
Hambantota,6.12,81.12,80.8,76,99,5.3,LK,1604195692
Safi,32.3,-9.24,64.76,87,20,10.54,MA,1604195745
Cap Malheureux,-19.98,57.61,68.0,72,40,9.17,MU,1604195745
Nelson Bay,-32.72,152.15,68.0,77,75,12.75,AU,1604195745
Lagoa,39.05,-27.98,68.43,94,97,27.49,PT,1604195745
Dikson,73.51,80.55,18.57,98,100,5.1,RU,1604195746
Boa Viagem,-5.13,-39.73,76.5,70,18,4.03,BR,1604195746
Quang Ngai,15.12,108.8,78.42,87,93,9.42,VN,1604195746
Puerto Ayora,-0.74,-90.35,70.0,90,65,5.99,EC,1604195746
Lahaina,20.88,-156.68,87.8,52,40,10.29,US,1604195746
Khatanga,71.97,102.5,-4.18,88,78,9.84,RU,1604195553
São Filipe,14.9,-24.5,79.32,70,91,7.38,CV,1604195654
Beringovskiy,63.05,179.32,21.36,95,100,12.44,RU,1604195746
Opuwo,-18.06,13.84,66.67,63,61,2.13,NA,1604195747
Lorengau,-2.02,147.27,85.84,71,17,9.08,PG,1604195583
Ugoofaaru,5.67,73.0,82.2,68,0,2.93,MV,1604195747
Severo-Kuril'sk,50.68,156.12,43.68,74,57,16.84,RU,1604195652
Quryq,43.2,51.65,56.57,34,1,15.1,KZ,1604195748
Kaitangata,-46.28,169.85,61.0,55,94,11.99,NZ,1604195748
Bredy,52.42,60.34,39.51,68,97,9.86,RU,1604195748
Havelock,34.88,-76.9,57.0,76,1,5.82,US,1604195748
Mount Gambier,-37.83,140.77,60.8,67,40,9.17,AU,1604195749
Mar del Plata,-38.0,-57.56,60.01,76,0,3.36,AR,1604195615
Graaff-Reinet,-32.25,24.53,57.0,88,93,3.0,ZA,1604195749
Hilo,19.73,-155.09,84.2,62,90,9.17,US,1604195483
Biak,-0.91,122.88,83.97,64,100,6.29,ID,1604195749
Saint Paul Harbor,57.79,-152.41,37.4,37,1,10.29,US,1604195749
Arrondissement de Bastia,42.67,9.33,60.01,77,75,8.05,FR,1604195749
Port-Gentil,-0.72,8.78,78.44,85,100,8.52,GA,1604195750
San Cristobal,7.77,-72.22,68.23,91,100,1.05,VE,1604195750
Kathmandu,27.72,85.32,62.6,82,20,2.24,NP,1604195592
Pemba,-12.97,40.52,76.53,72,73,2.89,MZ,1604195750
Ambilobe,-13.2,49.05,69.04,67,56,4.12,MG,1604195750
Bosaso,11.28,49.18,75.33,83,1,4.72,SO,1604195750
Port Alfred,-33.59,26.89,61.52,81,66,10.92,ZA,1604195750
Nānākuli,21.39,-158.15,86.0,58,90,17.22,US,1604195615
Saskylakh,71.92,114.08,-6.43,86,14,8.25,RU,1604195654
Cherskiy,68.75,161.3,12.29,90,100,2.91,RU,1604195751
Bengkulu,-3.8,102.27,82.58,69,100,1.25,ID,1604195657
Bundaberg,-24.85,152.35,88.0,33,0,9.17,AU,1604195572
Lompoc,34.64,-120.46,64.4,82,1,8.05,US,1604195751
Isangel,-19.55,169.27,80.53,70,95,15.01,VU,1604195751
Geraldton,-28.77,114.6,59.0,93,90,10.29,AU,1604195586
Nouadhibou,20.93,-17.03,68.0,77,0,10.29,MR,1604195752
Hermanus,-34.42,19.23,57.0,81,0,4.0,ZA,1604195647
Richards Bay,-28.78,32.04,63.21,90,100,2.33,ZA,1604195752
Comodoro Rivadavia,-45.87,-67.5,53.6,87,0,0.63,AR,1604195596
Coquimbo,-29.95,-71.34,53.6,93,9,3.36,CL,1604195710
Sidi Ali,36.1,0.42,61.16,70,45,1.99,DZ,1604195717
Kloulklubed,7.04,134.26,78.8,88,90,11.41,PW,1604195664
Margate,51.38,1.39,53.01,66,100,5.01,GB,1604195753
Honiara,-9.43,159.95,87.8,70,20,6.93,SB,1604195753
Alice Springs,-23.7,133.88,82.4,14,0,10.29,AU,1604195194
Nea Stira,38.18,24.2,60.01,53,0,8.01,GR,1604195753
Booué,-0.09,11.94,71.42,96,100,2.42,GA,1604195753
Luganville,-15.53,167.17,84.2,70,20,13.87,VU,1604195753
East London,-33.02,27.91,65.01,74,97,12.19,ZA,1604195754
Tilichiki,60.47,166.1,27.19,94,100,7.4,RU,1604195754
Pamyat' Parizhskoy Kommuny,56.1,44.5,41.0,86,90,8.95,RU,1604195754
Dodge City,37.75,-100.02,54.0,46,1,9.17,US,1604195754
Cedar City,37.68,-113.06,57.2,14,1,6.93,US,1604195754
Wattegama,6.8,81.48,78.73,82,100,1.48,LK,1604195755
Hithadhoo,-0.6,73.08,83.89,70,100,8.77,MV,1604195653
Grindavik,63.84,-22.43,39.2,86,75,2.24,IS,1604195594
Agadez,19.75,10.25,65.98,35,0,13.76,NE,1604195755
Nikolskoye,59.7,30.79,33.01,100,90,4.47,RU,1604195656
Carnarvon,-24.87,113.63,75.2,64,40,17.22,AU,1604195578
Port Keats,-14.25,129.55,92.53,48,0,7.87,AU,1604195755
Takoradze,4.88,-1.76,77.9,86,20,4.03,GH,1604195755
Oktyabr'skoye,43.06,44.74,50.0,100,98,2.24,RU,1604195756
Ovsyanka,55.96,92.55,26.6,100,75,2.24,RU,1604195756
Vardø,70.37,31.11,38.88,85,100,16.64,NO,1604195756
Pisco,-13.7,-76.22,63.0,88,0,11.41,PE,1604195756
Seabra,-12.42,-41.77,69.39,89,95,2.44,BR,1604195756
Upernavik,72.79,-56.15,16.29,95,100,12.75,GL,1604195757
Yumen,40.28,97.2,42.87,52,100,16.69,CN,1604195757
Narsaq,60.92,-46.05,26.6,79,73,2.44,GL,1604195757
Olafsvik,64.89,-23.71,41.5,81,93,4.47,IS,1604195757
Ola,59.58,151.28,33.57,91,100,7.09,RU,1604195660
Pevek,69.7,170.31,15.96,93,77,12.53,RU,1604195680
Usinsk,65.99,57.53,31.68,98,100,18.41,RU,1604195757
Broken Hill,-31.95,141.43,69.8,52,0,8.05,AU,1604195572
Villa Rica,33.73,-84.92,60.01,76,90,6.93,US,1604195492
Brookings,44.31,-96.8,39.2,60,1,23.04,US,1604195645
Samarai,-10.62,150.67,83.01,76,90,10.47,PG,1604195758
Koungou,-12.73,45.2,73.4,88,0,2.24,YT,1604195758
Tuatapere,-46.13,167.68,57.0,75,89,17.0,NZ,1604195758
Saldanha,-33.01,17.94,55.4,58,0,6.93,ZA,1604195758
North Battleford,52.78,-108.28,24.8,92,90,6.93,CA,1604195759
Kapaa,22.08,-159.32,81.0,74,75,6.93,US,1604195759
Kavaratti,10.57,72.64,81.81,70,73,4.27,IN,1604195666
Marquette,46.53,-87.63,45.0,69,100,4.0,US,1604195759
Tura,25.52,90.22,73.09,92,99,1.28,IN,1604195759
Faya,18.39,42.45,59.0,35,0,1.3,SA,1604195759
Cayenne,4.93,-52.33,77.0,100,67,2.24,GF,1604195759
Kang,-23.68,22.79,72.1,49,100,8.39,BW,1604195760
San Matías,-16.37,-58.4,77.32,55,83,5.35,BO,1604195760
Broome,42.25,-75.83,34.0,69,1,9.17,US,1604195760
Letlhakeng,-24.09,25.03,70.34,50,100,3.27,BW,1604195760
Chapais,49.78,-74.85,28.4,58,90,17.22,CA,1604195479
The Pas,53.83,-101.25,21.2,67,1,12.75,CA,1604195760
Nanortalik,60.14,-45.24,28.6,90,37,22.55,GL,1604195760
Mayumba,-3.43,10.66,76.82,89,100,3.31,GA,1604195761
Atar,20.52,-13.05,82.24,17,94,9.55,MR,1604195761
Saint Anthony,45.02,-93.22,43.0,48,75,9.17,US,1604195563
Bairiki Village,1.33,172.98,86.0,66,75,11.41,KI,1604195761
Mahébourg,-20.41,57.7,68.0,72,40,9.17,MU,1604195555
Makakilo City,21.35,-158.09,86.0,58,90,17.22,US,1604195761
President Roxas,7.15,125.06,86.0,66,75,2.24,PH,1604195761
Maniitsoq,65.42,-52.9,20.91,89,100,8.39,GL,1604195761
Atambua,-9.11,124.89,87.35,41,0,4.99,ID,1604195762
Alta Floresta,-9.88,-56.09,74.3,84,67,2.33,BR,1604195762
Arraial do Cabo,-22.97,-42.03,70.95,81,42,16.02,BR,1604195762
Longyearbyen,78.22,15.64,21.2,73,40,11.41,SJ,1604195762
Waitati,-45.75,170.57,57.99,70,100,11.01,NZ,1604195762
Manakara,-22.13,48.02,62.67,84,92,3.69,MG,1604195762
San Bartolomé de Tirajana,27.92,-15.57,78.8,24,0,12.75,ES,1604195667
Wamba,8.93,8.6,72.82,53,100,2.01,NG,1604195763
Saint-François,46.42,3.91,51.8,87,0,6.93,FR,1604195556
Yangi Marg`ilon,40.43,71.72,37.4,44,99,6.93,UZ,1604195577
Kholodnyy,62.72,147.95,10.24,92,86,1.97,RU,1604195763
Hays,30.05,-98.03,60.01,70,0,5.91,US,1604195763
Tezu,27.92,96.17,72.25,73,100,0.27,IN,1604195763
Ostrovnoy,68.05,39.51,27.72,95,100,19.66,RU,1604195763
Vuktyl,63.86,57.31,32.22,97,100,11.12,RU,1604195764
Kruisfontein,-34.0,24.73,57.99,91,0,1.01,ZA,1604195764
Lüderitz,-26.65,15.16,61.56,55,0,17.92,NA,1604195125
Aswān,24.09,32.91,71.26,60,0,5.88,EG,1604195764
Hasaki,35.73,140.83,63.0,59,40,6.93,JP,1604195725
Luanda,-8.84,13.23,77.0,88,75,5.82,AO,1604195624
Bredasdorp,-34.53,20.04,48.2,93,9,4.7,ZA,1604195647
Chabahar,25.29,60.64,71.85,32,0,5.17,IR,1604195765
Ripoll,42.2,2.19,52.0,62,8,1.01,ES,1604195765
Jacareacanga,-6.22,-57.75,81.32,60,99,1.54,BR,1604195765
Djambala,-2.54,14.75,67.57,98,100,2.59,CG,1604195765
Fonte Boa,-2.5,-66.27,71.2,97,100,1.86,BR,1604195766
Bambous Virieux,-20.34,57.76,68.0,72,40,9.17,MU,1604195766
Antofagasta,-23.65,-70.4,59.0,82,90,9.17,CL,1604195542
Anadyr,64.75,177.48,8.6,84,20,6.71,RU,1604195766
Krasnoturansk,54.32,91.56,28.4,92,100,2.24,RU,1604195766
Butaritari,3.07,172.79,81.75,76,100,14.38,KI,1604195766
Jiaozuo,35.24,113.23,66.45,24,81,5.26,CN,1604195767
Yar-Sale,66.83,70.83,26.19,97,36,12.21,RU,1604195767
Sterling,39.01,-77.43,45.0,75,90,4.7,US,1604195767
Padang,-0.95,100.35,76.6,89,100,7.54,ID,1604195767
Sørland,67.67,12.69,45.77,70,100,25.99,NO,1604195767
Amapá,1.0,-52.0,77.14,81,0,4.0,BR,1604195767
Castro,-24.79,-50.01,51.84,95,54,7.92,BR,1604195768
Praia,14.92,-23.51,75.2,78,0,18.34,CV,1604195768
Bandarbeyla,9.49,50.81,76.32,85,68,13.24,SO,1604195669
Guerrero Negro,27.98,-114.06,69.46,57,62,8.9,MX,1604195768
Ajdabiya,30.76,20.23,63.99,68,0,6.62,LY,1604195768
Vestmannaeyjar,63.44,-20.27,40.75,73,0,11.95,IS,1604195768
Baharly,38.44,57.43,61.09,29,0,4.41,TM,1604195769
Araouane,18.9,-3.53,81.93,15,100,7.78,ML,1604195769
Ayan,56.45,138.17,26.98,97,100,21.34,RU,1604195555
Cleveland,41.5,-81.7,46.4,52,1,16.11,US,1604195738
Vao,-22.67,167.48,74.19,82,0,14.27,NC,1604195769
Bantou,26.22,117.49,75.87,45,33,2.35,CN,1604195769
Ozinki,51.18,49.68,42.71,64,45,7.25,RU,1604195769
Zapolyarnyy,69.42,30.81,32.0,98,75,11.41,RU,1604195770
Esperance,-33.87,121.9,75.2,57,100,8.05,AU,1604195563
Flinders,-34.58,150.86,62.01,89,100,7.0,AU,1604195770
Joshīmath,30.57,79.57,53.73,35,0,3.36,IN,1604195770
Faanui,-16.48,-151.75,79.54,75,0,19.35,PF,1604195770
Taoudenni,22.68,-3.98,73.98,21,54,12.82,ML,1604195770
Hualmay,-11.1,-77.61,61.41,86,78,6.73,PE,1604195770
Katsuura,35.13,140.3,64.99,58,75,3.36,JP,1604195559
Dolzhanskaya,46.63,37.8,48.0,100,98,8.01,RU,1604195771
Okha,53.57,142.95,41.05,77,100,17.67,RU,1604195771
Aykhal,66.0,111.5,-2.2,84,0,2.24,RU,1604195591
Belyy Yar,53.6,91.39,28.4,92,95,2.24,RU,1604195771
Mokrousovo,55.81,66.77,34.54,88,100,10.65,RU,1604195772
Puerto Colombia,10.99,-74.95,82.11,78,99,5.21,CO,1604195772
Assiniboia,49.63,-105.98,26.6,68,47,8.05,CA,1604195772
Homer,59.64,-151.55,30.2,36,1,12.75,US,1604195660
Provideniya,64.38,-173.3,23.16,87,0,4.68,RU,1604195772
Hellvik,59.92,5.78,51.01,83,98,15.99,NO,1604195772
Batagay-Alyta,67.8,130.41,2.34,92,98,1.07,RU,1604195773
Natá,8.33,-80.52,73.0,91,100,50.0,PA,1604195773
Tessalit,20.2,1.01,73.54,21,1,10.29,ML,1604195773
Asău,46.43,26.4,46.4,81,69,20.8,RO,1604195671
Kropotkin,45.44,40.58,53.01,84,17,2.15,RU,1604195773
Salinas,36.68,-121.66,66.2,52,1,6.93,US,1604195774
Amberley,39.2,-84.43,50.0,74,100,6.35,US,1604195774
Saint-Joseph,-21.37,55.62,64.4,68,90,9.17,RE,1604195774
Culpeper,38.5,-77.97,48.2,70,90,3.36,US,1604195774
Parrita,9.52,-84.32,69.8,100,75,4.7,CR,1604195774
Te Anau,-45.42,167.72,51.55,75,100,5.59,NZ,1604195774
Sioux Lookout,50.1,-91.92,26.6,86,90,13.87,CA,1604195561
Kyaukse,21.6,96.13,77.0,88,75,3.36,MM,1604195775
Galesong,-5.32,119.37,85.24,61,93,3.62,ID,1604195583
Igrim,63.19,64.42,29.35,95,1,8.79,RU,1604195775
Souillac,-20.52,57.52,68.0,72,40,9.17,MU,1604195668
Naze,28.37,129.48,77.0,78,40,14.99,JP,1604195775
Sinnamary,5.38,-52.95,80.19,85,68,11.43,GF,1604195775
Fethiye,36.62,29.12,55.4,82,0,4.7,TR,1604195772
Kawalu,-7.38,108.21,82.56,67,6,3.18,ID,1604195603
